metric,off,on,change
Overall Mean Activation,0.4527420370965968,0.4442486829174812,-1.8759809081531083
Overall RMS Activation,0.4546281867766983,0.44647680871957407,-1.7929768312249377
r_m (Mean Muscle Activation),0.4543885304402565,0.4459326314029372,-1.860940246252781
Work Proxy (Sum Sq. Activation),31.668647863244093,31.14354127906103,-1.6581275792091004
