time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l
0.333333,0.000000,0.513770,1.000000,1.000000,0.000000,0.278089,0.912628,0.163872,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.990388,0.864141,0.636101,0.496733,1.000000,0.386719,0.388485,0.000000,0.480275,0.717605,0.663959,0.000000,1.000000,0.910141,1.000000,1.000000,1.000000,0.000000,0.000000,0.474348,0.024098,0.987141,1.000000,1.000000,1.000000,0.441976,0.629933,0.000000,0.000000,0.368727,0.037559,1.000000,0.888514,0.490926,0.000000,0.000000,1.000000,0.930655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.344642,0.000000,0.000000,0.000000,0.922975,0.000000,0.125190,0.445518,0.000000,0.816067,1.000000,0.000000,0.360122,1.000000,0.000000,0.507754,0.000000,0.987427,1.000000,1.000000,0.394366
0.366667,0.000000,0.295655,0.983037,1.000000,0.000000,0.277621,0.830233,0.112809,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.038823,1.000000,0.864508,0.649330,0.589730,0.970514,0.390819,0.378034,0.000000,0.405654,0.705046,0.583065,0.000000,1.000000,0.894515,1.000000,1.000000,1.000000,0.000000,0.000000,0.525204,0.221530,1.000000,1.000000,1.000000,1.000000,0.456857,0.691604,0.000000,0.000000,0.350136,0.086553,1.000000,0.850702,0.542298,0.000000,0.000000,1.000000,0.906549,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.064066,0.000000,0.000000,0.032753,0.969147,0.000000,0.096720,0.263486,0.000000,0.907782,1.000000,0.000000,0.454852,0.998248,0.000000,0.397059,0.000000,1.000000,1.000000,1.000000,0.674480
0.400000,0.000000,0.061922,0.871432,1.000000,0.000000,0.253213,1.000000,0.036554,0.000000,0.139509,1.000000,1.000000,0.000000,0.000000,0.171955,1.000000,0.865298,0.647227,0.671296,0.519911,0.390645,0.363111,0.000000,0.449134,0.659121,0.447339,0.000000,1.000000,0.652293,1.000000,1.000000,1.000000,0.000000,0.000000,0.489468,0.747385,1.000000,1.000000,1.000000,1.000000,0.426933,0.690339,0.000000,0.000000,0.253812,0.105329,1.000000,0.762017,0.493755,0.000000,0.000000,1.000000,0.165863,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.199978,0.969008,0.067022,0.020805,0.000000,0.000000,0.982166,1.000000,0.000000,0.690732,1.000000,0.000000,0.231598,0.458602,1.000000,1.000000,1.000000,1.000000
0.433333,0.000000,0.000000,0.731851,1.000000,0.000000,0.243579,1.000000,0.088142,0.000000,0.224196,1.000000,1.000000,0.000000,0.000000,0.298966,1.000000,0.871064,0.675505,0.713421,0.187275,0.402063,0.367266,0.006831,0.459329,0.624737,0.386073,0.000000,1.000000,0.563550,1.000000,1.000000,1.000000,0.072364,0.000000,0.653000,0.676611,0.958849,1.000000,1.000000,1.000000,0.546291,0.942848,0.000000,0.000000,0.277878,0.112285,1.000000,0.760392,0.664418,0.000000,0.000000,1.000000,0.003074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.205366,0.961519,0.169267,0.051374,0.000000,0.000000,1.000000,1.000000,0.000000,0.668618,1.000000,0.000000,0.319281,0.425065,0.980793,1.000000,1.000000,1.000000
0.466667,0.000000,0.283458,0.947672,1.000000,0.000000,0.212405,1.000000,0.144547,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.347159,1.000000,0.873974,0.660145,0.635202,0.465278,0.392114,0.355189,0.000000,0.737694,0.635498,0.586858,0.000000,1.000000,0.729097,1.000000,1.000000,1.000000,0.421571,0.000000,0.426605,0.841063,0.985817,1.000000,1.000000,1.000000,0.409857,0.640821,0.000000,0.000000,0.171618,0.000000,0.896170,0.743837,0.299375,0.000000,0.000000,1.000000,0.638215,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.158436,0.831784,0.128699,0.033463,0.000000,0.000000,0.886318,1.000000,0.000000,0.420455,1.000000,0.000000,0.526147,0.130305,0.983716,1.000000,1.000000,1.000000
0.500000,0.000000,0.107309,0.868529,1.000000,0.000000,0.234091,1.000000,0.110696,0.000000,0.024063,1.000000,1.000000,0.000000,0.000000,0.235843,1.000000,0.868232,0.641742,0.683455,0.511127,0.383056,0.349847,0.000000,0.476789,0.661581,0.526330,0.000000,1.000000,0.708782,1.000000,0.999643,1.000000,0.064538,0.000000,0.566189,0.646387,1.000000,1.000000,1.000000,1.000000,0.450753,0.728915,0.000000,0.000000,0.272741,0.089454,1.000000,0.789375,0.451065,0.000000,0.000000,1.000000,0.435983,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.146174,0.954291,0.109660,0.044693,0.000000,0.000000,0.976929,1.000000,0.000000,0.603328,0.998716,0.000000,0.405411,0.237804,1.000000,1.000000,1.000000,1.000000
0.533333,0.000000,0.000000,0.818393,1.000000,0.000000,0.255432,0.975304,0.077024,0.000000,0.085242,1.000000,1.000000,0.000000,0.000000,0.179458,1.000000,0.867129,0.647125,0.704434,0.525855,0.386181,0.353439,0.000000,0.366242,0.665264,0.452201,0.000000,1.000000,0.664897,1.000000,1.000000,1.000000,0.000000,0.000000,0.615274,0.580664,1.000000,1.000000,1.000000,1.000000,0.476834,0.780598,0.000000,0.000000,0.309749,0.140580,1.000000,0.797228,0.570107,0.000000,0.000000,1.000000,0.208961,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.162608,0.988093,0.092786,0.045575,0.000000,0.000000,0.995829,1.000000,0.000000,0.685292,1.000000,0.000000,0.305787,0.359953,1.000000,1.000000,1.000000,1.000000
0.566667,0.000000,0.079173,0.854956,1.000000,0.000000,0.238572,1.000000,0.099931,0.000000,0.056110,1.000000,1.000000,0.000000,0.000000,0.206057,1.000000,0.867296,0.650613,0.660026,0.466913,0.388137,0.363182,0.000000,0.503847,0.648787,0.495447,0.000000,1.000000,0.683432,1.000000,1.000000,1.000000,0.094364,0.000000,0.516145,0.671640,1.000000,1.000000,1.000000,1.000000,0.452006,0.749130,0.000000,0.000000,0.257730,0.077357,1.000000,0.777396,0.472979,0.000000,0.000000,1.000000,0.346048,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.160743,0.950766,0.100422,0.032712,0.000000,0.000000,0.972110,1.000000,0.000000,0.664224,1.000000,0.000000,0.323152,0.270911,1.000000,1.000000,1.000000,1.000000
0.600000,0.000000,0.132806,0.879450,1.000000,0.000000,0.232707,1.000000,0.106314,0.000000,0.039840,1.000000,1.000000,0.000000,0.000000,0.205391,1.000000,0.866791,0.648838,0.636196,0.465922,0.387270,0.364963,0.000000,0.553545,0.646314,0.516923,0.000000,1.000000,0.698308,1.000000,1.000000,1.000000,0.167105,0.000000,0.470538,0.719871,1.000000,1.000000,1.000000,1.000000,0.434297,0.718065,0.000000,0.000000,0.237893,0.054034,1.000000,0.771839,0.424367,0.000000,0.000000,1.000000,0.419998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.158496,0.932545,0.096775,0.024825,0.000000,0.000000,0.940606,1.000000,0.000000,0.660532,1.000000,0.000000,0.326279,0.238309,1.000000,1.000000,1.000000,1.000000
0.633333,0.000000,0.084930,0.858817,1.000000,0.000000,0.237404,1.000000,0.097849,0.000000,0.063247,1.000000,1.000000,0.000000,0.000000,0.191950,1.000000,0.865673,0.646684,0.642215,0.443868,0.386456,0.363801,0.000000,0.514480,0.646513,0.495303,0.000000,1.000000,0.683236,1.000000,1.000000,1.000000,0.111311,0.000000,0.496127,0.699175,1.000000,1.000000,1.000000,1.000000,0.444942,0.740471,0.000000,0.000000,0.252782,0.074166,1.000000,0.775476,0.464724,0.000000,0.000000,1.000000,0.344247,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.162878,0.949755,0.097278,0.027096,0.000000,0.000000,0.960949,1.000000,0.000000,0.689929,1.000000,0.000000,0.299968,0.274956,1.000000,1.000000,1.000000,1.000000
